Commune,mean
MONTROUGE,8368.0
MONTLHERY,3598.0
MONTREUIL,6987.0
RIS-ORANGIS,3120.0
VILLEPARISIS,3478.0
HERME,1673.0
CHENNEVIERES-LES-LOUVRES,3310.0
TIGERY,3534.0
GOUSSONVILLE,3112.0
ENGHIEN-LES-BAINS,5970.0
EZANVILLE,3770.0
COURQUETAINE,2523.0
SEUGY,3410.0
BARCY,3398.0
BUSSY-SAINT-GEORGES,4355.0
GUIGNEVILLE-SUR-ESSONNE,2822.0
COCHEREL,2019.0
FORGES,2084.0
MEZIERES-SUR-SEINE,3188.0
BRAY-ET-LU,2431.0
LORREZ-LE-BOCAGE-PREAUX,2048.0
SAINT-REMY-LES-CHEVREUSE,4528.0
VILLE-SAINT-JACQUES,2385.0
MONTARLOT,
LAINVILLE-EN-VEXIN,2816.0
LINAS,3429.0
NOISY-LE-GRAND,4583.0
VETHEUIL,3067.0
PARIS-5E-ARRONDISSEMENT,13018.0
MAUDETOUR-EN-VEXIN,2831.0
MONTIGNY-SUR-LOING,3462.0
AUGERS-EN-BRIE,1572.0
FUBLAINES,3035.0
DIANT,1534.0
TAVERNY,4206.0
VILLENEUVE-LES-BORDES,2426.0
SAINTS,2569.0
GOMETZ-LE-CHATEL,3628.0
PASSY-SUR-SEINE,2099.0
BONNEUIL-EN-FRANCE,3288.0
MONTGEROULT,3034.0
LE VAL-SAINT-GERMAIN,2978.0
VITRY-SUR-SEINE,4887.0
THOURY-FEROTTES,2061.0
L'ETANG-LA-VILLE,5839.0
YEBLES,3171.0
VILLIERS-SUR-MARNE,4598.0
ARBONNE-LA-FORET,3251.0
VIMPELLES,2126.0
FREPILLON,4059.0
CHENNEVIERES-SUR-MARNE,4551.0
ECHOUBOULAINS,2448.0
SABLONNIERES,1713.0
BEAUCHERY-SAINT-MARTIN,1327.0
AVERNES,2980.0
CONDE-SUR-VESGRE,3054.0
FRANCONVILLE,4082.0
VILLEVAUDE,3450.0
BOURG-LA-REINE,6684.0
DORMELLES,2366.0
CONDECOURT,2726.0
MITTAINVILLE,2789.0
LUISETAINES,2090.0
MONTREUIL-SUR-EPTE,2777.0
DANNEMARIE,3272.0
BOISSY-SANS-AVOIR,3030.0
VOISINS-LE-BRETONNEUX,4738.0
PARIS-7E-ARRONDISSEMENT,15384.0
LA FRETTE-SUR-SEINE,4444.0
CIVRY-LA-FORET,3159.0
CHAMIGNY,2550.0
SIGNY-SIGNETS,2574.0
SOIGNOLLES-EN-BRIE,2981.0
JOINVILLE-LE-PONT,6693.0
CHATEAUBLEAU,1832.0
DRANCY,3970.0
MORAINVILLIERS,3985.0
COURTRY,3579.0
JOUY-MAUVOISIN,2962.0
COURBEVOIE,7730.0
PUISEUX-EN-FRANCE,2957.0
CHATEAU-LANDON,1848.0
MEAUX,3145.0
MONTCEAUX-LES-MEAUX,2185.0
COUBERT,3368.0
BOISSY-L'AILLERIE,3278.0
ERAGNY,3529.0
TRILPORT,2899.0
NAINVILLE-LES-ROCHES,3225.0
BREAU,2762.0
LE KREMLIN-BICETRE,6285.0
BOUTIGNY-SUR-ESSONNE,2966.0
ARRANCOURT,1756.0
THIEUX,2813.0
TOUSSUS-LE-NOBLE,4826.0
MORSANG-SUR-SEINE,3510.0
LES MESNULS,4659.0
BALLANCOURT-SUR-ESSONNE,3343.0
SAINT-GERMAIN-LES-ARPAJON,3412.0
VILLENEUVE-LE-COMTE,3606.0
ROSAY,2422.0
LIMETZ-VILLEZ,2479.0
LA COURNEUVE,3837.0
BERNES-SUR-OISE,3032.0
LONGJUMEAU,3588.0
JEUFOSSE,3122.0
PERIGNY,3856.0
VILLENEUVE-SAINT-GEORGES,3285.0
ORMOY,3304.0
MERY-SUR-MARNE,1976.0
JOUY-EN-JOSAS,5884.0
MONTEVRAIN,4436.0
SAINT-MANDE,9577.0
VANVES,7610.0
LOUAN-VILLEGRUIS-FONTAINE,1395.0
CARRIERES-SOUS-POISSY,3677.0
VILLIERS-SUR-MORIN,3233.0
EPINAY-CHAMPLATREUX,2671.0
BOIS-D'ARCY,4263.0
CHAUCONIN-NEUFMONTIERS,3223.0
VILLECERF,2438.0
VERT-LE-GRAND,3269.0
MONTEREAU-SUR-LE-JARD,2443.0
LA CHAPELLE-IGER,3033.0
LECHELLE,1691.0
MONS-EN-MONTOIS,2227.0
PRUNAY-EN-YVELINES,2590.0
MORANGIS,4124.0
TRILBARDOU,2864.0
BRIGNANCOURT,2307.0
IGNY,5046.0
AINCOURT,2606.0
LA CHAPELLE-EN-VEXIN,2885.0
SIGY,
ROUVRES,3164.0
AUBEPIERRE-OZOUER-LE-REPOS,2760.0
RUBELLES,3078.0
SAINT-ESCOBILLE,2183.0
AMBLEVILLE,2766.0
RUNGIS,4929.0
PARIS-8E-ARRONDISSEMENT,13065.0
ABLEIGES,3353.0
EGLY,3307.0
SAINT-WITZ,3359.0
SAINT-SAUVEUR-SUR-ECOLE,3248.0
OISSERY,3083.0
HERMERAY,2977.0
ROSNY-SUR-SEINE,2801.0
CLICHY,7723.0
SAINT-ARNOULT-EN-YVELINES,2926.0
SOUPPES-SUR-LOING,1810.0
LA HAUTE-MAISON,2370.0
CHAMPCENEST,2086.0
PARIS-13E-ARRONDISSEMENT,10055.0
VILLEMAREUIL,3373.0
SAINTE-COLOMBE,2044.0
SAINT-MARS-VIEUX-MAISONS,1767.0
EPINAY-SUR-ORGE,4101.0
VILLEMOMBLE,4376.0
THORIGNY-SUR-MARNE,3840.0
MAINCY,2663.0
DANNEMOIS,2690.0
MONTIGNY-LES-CORMEILLES,3995.0
SAINT-REMY-L'HONORE,3911.0
BRY-SUR-MARNE,5961.0
GRESSEY,3107.0
PARIS-12E-ARRONDISSEMENT,10327.0
LONGUESSE,3831.0
NEAUPHLE-LE-VIEUX,3502.0
SAINT-PIERRE-DU-PERRAY,3499.0
BLANDY,2486.0
BOISSY-LE-CHATEL,2601.0
CACHAN,6377.0
BAZEMONT,4047.0
FRETOY,1916.0
CHATOU,6778.0
LE PORT-MARLY,4631.0
CHAUVRY,2984.0
SARCELLES,3130.0
SAINT-BRICE,2172.0
BLARU,1885.0
BLENNES,1530.0
VILLENEUVE-SUR-AUVERS,3128.0
ESTOUCHES,
LESCHES,3302.0
VILLENAUXE-LA-PETITE,1746.0
CHAMBRY,2786.0
SAINT-MARTIN-EN-BIERE,2923.0
VILLENNES-SUR-SEINE,5309.0
THOIRY,3590.0
ROINVILLIERS,2765.0
BOISSETS,2789.0
VOINSLES,3042.0
AUBERGENVILLE,3296.0
ARVILLE,1454.0
SOINDRES,2789.0
VERNOUILLET,3999.0
LE THILLAY,3737.0
POLIGNY,2253.0
CRESPIERES,4169.0
EMERAINVILLE,3551.0
VILLENEUVE-LA-GARENNE,3843.0
ORCEMONT,2967.0
LE RAINCY,4800.0
GERMIGNY-L'EVEQUE,3264.0
NANTEUIL-SUR-MARNE,1837.0
NOZAY,3825.0
NANTEUIL-LES-MEAUX,3005.0
OINVILLE-SUR-MONTCIENT,3065.0
BRUYERES-SUR-OISE,3022.0
FREMAINVILLE,3399.0
ORMOY-LA-RIVIERE,3112.0
MOISENAY,3276.0
BREUILLET,3230.0
VILLIERS-SAINT-FREDERIC,3851.0
LONGPONT-SUR-ORGE,3370.0
SAINT-MERY,2679.0
HERBLAY,4213.0
NESLES-LA-VALLEE,3987.0
GAMBAIS,3239.0
MONTOLIVET,1923.0
CERGY,3258.0
PLAISIR,3529.0
SAINT-OUEN,6695.0
GRISY-SUR-SEINE,1973.0
PARIS-18E-ARRONDISSEMENT,10377.0
CHENOU,2026.0
SAINT-PIERRE-LES-NEMOURS,2256.0
VAUCOURTOIS,3357.0
VERDELOT,1588.0
VAUCRESSON,7200.0
